prefix,asNumber,asName,asOrg,usage
1.0.0.32/27,13335,CLOUDFLARENET-AS,RIPE,美国亚太互联网络信息中心(CloudFlare节点)
1.1.1.32/27,13335,CLOUDFLARENET-AS,RIPE,美国亚太互联网络信息中心(CloudFlare节点)
1.2.4.32/27,24151_24409,CNNIC-CRITICAL-AP  ,APNIC  ,北京市中国互联网络信息中心
1.10.140.192/27,23969,TOT-NET,APNIC,泰国CZ88.NET
1.26.112.32/27,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通
1.26.124.32/27,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通林东镇新城区BRAS数据机房
1.27.100.32/27,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通
1.29.28.32/27,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通林东镇新城区BRAS数据机房
1.29.120.32/27,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通
1.31.244.32/27,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通林东镇新城区BRAS数据机房
1.83.0.0/27,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.83.146.224/27,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.84.98.0/27,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.84.98.224/27,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.0.0/27,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.17.160/27,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.31.64/27,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.37.192/27,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.39.32/27,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.49.64/27,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.52.0/27,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.189.192/27,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.93.0.32/27,4847_4808,CNIX-AP CHINA169-BJ ,APNIC  ,北京市鹏博士酒仙桥数据中心
1.180.184.128/27,4134,CHINANET-BACKBONE,APNIC,内蒙古通辽市电信
1.192.217.160/27,4134,CHINANET-BACKBONE,APNIC,河南省郑州市电信
1.202.85.160/27,4847,CNIX-AP,APNIC,北京市电信
1.202.184.96/27,4847,CNIX-AP,APNIC,北京市电信
1.202.250.32/27,4847,CNIX-AP,APNIC,北京市电信
1.202.255.0/27,4847,CNIX-AP,APNIC,北京市电信
1.204.172.32/27,4134,CHINANET-BACKBONE,APNIC,贵州省贵阳市电信
1.204.235.0/27,4134,CHINANET-BACKBONE,APNIC,贵州省贵阳市电信
1.209.111.0/27,10167,HANVIT-AS,APNIC,
1.233.179.224/27,45978,KISDFS-AS-KR,APNIC,
1.235.126.160/27,10050,NL-AS-KR,APNIC,
1.237.2.0/27,38392,GOEYP-AS-KR,APNIC,
1.238.20.0/27,38399,GOEYJ-AS-KR,APNIC,
1.241.2.0/27,38403,GOEGU-AS-KR,APNIC,
1.242.6.0/27,38414,GOESH-AS-KR,APNIC,
2.1.1.32/27,3215,AS3215,RIPE,法国OrangeS.A.公司AS3215-FR-TELECOM-20100712网络(ROASignedandValid)
4.0.0.32/27,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
4.2.2.32/27,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
4.28.136.0/27,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
4.79.238.0/27,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
5.10.143.32/27,4809,CHINATELECOM-CORE-WAN-CN2,APNIC,英国CZ88.NET
5.10.143.96/27,4809,CHINATELECOM-CORE-WAN-CN2,APNIC,英国CZ88.NET
5.11.15.64/27,30844,LIQUID-AS,RIPE,安哥拉CZ88.NET
5.11.15.96/27,30844,LIQUID-AS,RIPE,南非CZ88.NET
5.23.4.32/27,6453,AS6453,ARIN,欧盟CZ88.NET
5.23.9.0/27,6453,AS6453,ARIN,英国CZ88.NET
5.23.9.32/27,6453,AS6453,ARIN,欧盟CZ88.NET
5.23.16.32/27,6453,AS6453,ARIN,欧盟CZ88.NET
5.23.28.32/27,6453,AS6453,ARIN,欧盟CZ88.NET
5.35.160.160/27,8681,JT,RIPE,泽西岛JTGlobal
5.35.160.64/27,8681,JT,RIPE,泽西岛JTGlobal
5.62.82.0/27,14537,CL-1379-14537,ARIN,马恩岛Continent8数据中心
5.144.17.64/27,15600,FINECOM,RIPE,瑞士CZ88.NET
5.145.65.64/27,15600,FINECOM,RIPE,瑞士CZ88.NET
8.8.4.32/27,3356,LEVEL3,ARIN,美国加利福尼亚州圣克拉拉县山景市谷歌公司
8.8.8.32/27,3356,LEVEL3,ARIN,美国加利福尼亚州圣克拉拉县山景市谷歌公司
