prefix,asNumber,asName,asOrg,usage
1.0.16.0/20,2519,"VECTANT ARTERIA Networks Corporation, JP",JPNIC,日本东京I2TsInc
1.0.144.0/20,23969,TOT-NET,APNIC,
1.0.176.0/20,23969,TOT-NET,APNIC,
1.1.16.0/20,NA,NA, ,广东省电信
1.1.160.0/20,23969,TOT-NET,APNIC,
1.2.16.0/20,NA,NA, ,广东省电信
1.2.128.0/20,23969,TOT-NET,APNIC,
1.2.144.0/20,23969,TOT-NET,APNIC,
1.2.192.0/20,23969,TOT-NET,APNIC,
1.4.16.0/20,NA,NA, ,广东省电信
1.4.160.0/20,23969,TOT-NET,APNIC,
1.4.176.0/20,23969,TOT-NET,APNIC,
1.4.224.0/20,23969,TOT-NET,APNIC,
1.10.16.0/20,NA,NA, ,广东省电信
1.10.144.0/20,23969,TOT-NET,APNIC,泰国TOT-AS-AP
1.10.224.0/20,23969,TOT-NET,APNIC,
1.24.48.0/20,4837,CHINA169-Backbone,APNIC,内蒙古锡林郭勒盟联通
1.24.64.0/20,4837,CHINA169-Backbone,APNIC,内蒙古联通
1.24.96.0/20,4837,CHINA169-Backbone,APNIC,内蒙古巴彦淖尔市联通
1.25.208.0/20,4837,CHINA169-Backbone,APNIC,内蒙古包头市联通
1.26.0.0/20,4837,CHINA169-Backbone,APNIC,内蒙古呼伦贝尔市联通
1.27.0.0/20,4837,CHINA169-Backbone,APNIC,内蒙古呼伦贝尔市联通
1.27.128.0/20,4837,CHINA169-Backbone,APNIC,内蒙古通辽市联通
1.27.160.0/20,4837,CHINA169-Backbone,APNIC,内蒙古兴安盟联通
1.27.208.0/20,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通
1.28.16.0/20,4837,CHINA169-Backbone,APNIC,内蒙古乌兰察布市联通
1.28.96.0/20,4837,CHINA169-Backbone,APNIC,内蒙古呼和浩特市联通
1.28.224.0/20,4837,CHINA169-Backbone,APNIC,内蒙古包头市联通
1.29.48.0/20,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通
1.29.128.0/20,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通
1.29.176.0/20,4837,CHINA169-Backbone,APNIC,内蒙古通辽市联通
1.29.240.0/20,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通
1.30.48.0/20,4837,CHINA169-Backbone,APNIC,内蒙古乌兰察布市联通
1.30.112.0/20,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通
1.30.128.0/20,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通
1.30.240.0/20,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通
1.31.208.0/20,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通
1.31.224.0/20,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通
1.32.112.0/20,4788,TMNET-AS-AP,APNIC,马来西亚CZ88.NET
1.32.192.0/20,64050,"BCPL-SG BGPNET Global ASN, SG",APNIC,马来西亚CZ88.NET
1.32.224.0/20,64050,"BCPL-SG BGPNET Global ASN, SG",APNIC,马来西亚CZ88.NET
1.34.0.0/20,3462,HINET,APNIC,台湾省新北市中华电信
1.35.0.0/20,3462,HINET,APNIC,台湾省中华电信
1.35.16.0/20,3462,HINET,APNIC,台湾省新北市中华电信
1.35.112.0/20,3462,HINET,APNIC,台湾省中华电信
1.48.48.0/20,4134,CHINANET-BACKBONE,APNIC,贵州省贵阳市电信
1.48.64.0/20,4134,CHINANET-BACKBONE,APNIC,贵州省贵阳市电信
1.49.112.0/20,4134,CHINANET-BACKBONE,APNIC,贵州省贵阳市电信
1.51.0.0/20,4538,ERX-CERNET-BKB,APNIC,北京市中国教育和科研计算机网骨干网
1.51.16.0/20,4538,ERX-CERNET-BKB,APNIC,江苏省南京市南京艺术学院
1.51.32.0/20,4538,ERX-CERNET-BKB,APNIC,江苏省常州市常州大学教育网
1.51.96.0/20,4538,ERX-CERNET-BKB,APNIC,安徽省合肥市教育网
1.51.128.0/20,4538,ERX-CERNET-BKB,APNIC,江苏省教育网
1.51.144.0/20,4538,ERX-CERNET-BKB,APNIC,山东省济南市山东女子学院教育网
1.51.176.0/20,4538,ERX-CERNET-BKB,APNIC,山东省德州市德州学院教育网
1.52.0.0/20,18403,FPT-AS-AP,APNIC,
1.52.16.0/20,18403,FPT-AS-AP,APNIC,
1.52.32.0/20,18403,FPT-AS-AP,APNIC,
1.52.48.0/20,18403,FPT-AS-AP,APNIC,
1.52.64.0/20,18403,FPT-AS-AP,APNIC,
1.52.80.0/20,18403,FPT-AS-AP,APNIC,
1.52.96.0/20,18403,FPT-AS-AP,APNIC,
1.52.112.0/20,18403,FPT-AS-AP,APNIC,
1.52.128.0/20,18403,FPT-AS-AP,APNIC,
1.52.144.0/20,18403,FPT-AS-AP,APNIC,
1.52.160.0/20,18403,FPT-AS-AP,APNIC,
1.52.176.0/20,18403,FPT-AS-AP,APNIC,
1.52.192.0/20,18403,FPT-AS-AP,APNIC,
1.52.208.0/20,18403,FPT-AS-AP,APNIC,
1.52.224.0/20,18403,FPT-AS-AP,APNIC,
1.52.240.0/20,18403,FPT-AS-AP,APNIC,
1.53.0.0/20,18403,FPT-AS-AP,APNIC,
1.53.16.0/20,18403,FPT-AS-AP,APNIC,
1.53.32.0/20,18403,FPT-AS-AP,APNIC,
1.53.48.0/20,18403,FPT-AS-AP,APNIC,
1.53.64.0/20,18403,FPT-AS-AP,APNIC,
1.53.80.0/20,18403,FPT-AS-AP,APNIC,
1.53.96.0/20,18403,FPT-AS-AP,APNIC,
1.53.112.0/20,18403,FPT-AS-AP,APNIC,
1.53.128.0/20,18403,FPT-AS-AP,APNIC,
1.53.144.0/20,18403,FPT-AS-AP,APNIC,
1.53.160.0/20,18403,FPT-AS-AP,APNIC,
1.53.176.0/20,18403,FPT-AS-AP,APNIC,
1.53.192.0/20,18403,FPT-AS-AP,APNIC,
1.53.208.0/20,18403,FPT-AS-AP,APNIC,
1.53.224.0/20,18403,FPT-AS-AP,APNIC,
1.53.240.0/20,18403,FPT-AS-AP,APNIC,
1.54.0.0/20,18403,FPT-AS-AP,APNIC,
1.54.16.0/20,18403,FPT-AS-AP,APNIC,
1.54.32.0/20,18403,FPT-AS-AP,APNIC,
1.54.48.0/20,18403,FPT-AS-AP,APNIC,
1.54.64.0/20,18403,FPT-AS-AP,APNIC,
1.54.80.0/20,18403,FPT-AS-AP,APNIC,
1.54.96.0/20,18403,FPT-AS-AP,APNIC,
1.54.112.0/20,18403,FPT-AS-AP,APNIC,
1.54.128.0/20,18403,FPT-AS-AP,APNIC,
1.54.144.0/20,18403,FPT-AS-AP,APNIC,
1.54.160.0/20,18403,FPT-AS-AP,APNIC,
1.54.176.0/20,18403,FPT-AS-AP,APNIC,
