prefix,asNumber,asName,asOrg,usage
1.12.0.0/14,18245,Founderbn,APNIC,
1.40.0.0/14,4804,MPX-AS,APNIC,澳洲新南州OPTUSINTERNET零售互联网服务
1.52.0.0/14,18403,FPT-AS-AP,APNIC,越南河内
1.68.0.0/14,4134,CHINANET-BACKBONE,APNIC,
1.88.0.0/14,17429,"BGCTVNET BEIJING GEHUA CATV NETWORK CO.LTD, CN",APNIC,北京市歌华有线
1.112.0.0/14,37903,eMobile,JPNIC,日本东京都港区虎ノ門eAccess有限公司
1.180.0.0/14,4134,CHINANET-BACKBONE,APNIC,
1.188.0.0/14,4837,CHINA169-Backbone,APNIC,
1.204.0.0/14,4134,CHINANET-BACKBONE,APNIC,
1.248.0.0/14,9318,SKB-AS,APNIC,韩国SKBroadband数据中心
2.4.0.0/14,3215,"AS3215, FR",RIPE,法国OrangeS.A.公司AS3215-FR-TELECOM-20100712网络(ROASignedandValid)
2.36.0.0/14,30722,VODAFONE-IT-ASN,RIPE,
2.48.0.0/14,5384,EMIRATES-INTERNET,RIPE,
2.52.0.0/14,12400,PARTNER-AS,RIPE,以色列Partner通信
2.56.0.0/14,NA,NA, ,乌克兰CZ88.NET
2.60.0.0/14,12389,ROSTELECOM-AS,RIPE,俄罗斯CZ88.NET
2.64.0.0/14,44034,hi3g,RIPE,瑞典Hi3G
2.68.0.0/14,44034,hi3g,RIPE,瑞典CZ88.NET
2.80.0.0/14,3243,MEO-RESIDENCIAL,RIPE,葡萄牙CZ88.NET
2.84.0.0/14,6799,OTENET-GR,RIPE,希腊CZ88.NET
2.88.0.0/14,25019,SAUDINETSTC-AS,RIPE,沙特阿拉伯SaudiTelecomCompanyJSC
2.92.0.0/14,8402,CORBINA-AS,RIPE,俄罗斯CZ88.NET
2.96.0.0/14,13285,OPALTELECOM-AS,RIPE,
2.100.0.0/14,13285,OPALTELECOM-AS,RIPE,英国CZ88.NET
2.120.0.0/14,5607,BSKYB-BROADBAND-AS,RIPE,英国CZ88.NET
2.128.0.0/14,9158,TELENOR_DANMARK_AS,RIPE,丹麦CZ88.NET
2.132.0.0/14,9198,KAZTELECOM-AS,RIPE,哈萨克斯坦CZ88.NET
2.144.0.0/14,44244,"IRANCELL-AS, IR",RIPE,伊朗CZ88.NET
2.148.0.0/14,2119,TELENOR-NEXTEL,RIPE,挪威CZ88.NET
2.152.0.0/14,12357,"COMUNITEL SPAIN, ES",RIPE,西班牙CZ88.NET
2.156.0.0/14,24608,WINDTRE-AS,RIPE,意大利CZ88.NET
2.200.0.0/14,3209,VODANET,RIPE,
2.204.0.0/14,3209,VODANET,RIPE,
2.216.0.0/14,5607,BSKYB-BROADBAND-AS,RIPE,英国CZ88.NET
4.4.0.0/14,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
4.24.0.0/14,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
4.72.0.0/14,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
5.4.0.0/14,12638,AS12638,RIPE,德国CZ88.NET
5.12.0.0/14,8708,RCS-RDS,RIPE,罗马尼亚CZ88.NET
5.16.0.0/14,21353,"ARTCOMS-AS, RU",RIPE,俄罗斯CZ88.NET
5.24.0.0/14,16135,"TURKCELL-AS Turkcell A.S., TR",RIPE,土耳其CZ88.NET
5.48.0.0/14,5410,ASN-BOUYGTEL-ISP,RIPE,法国CZ88.NET
5.72.0.0/14,57218,"TAMINTELECOM, IR",RIPE,俄罗斯CZ88.NET
5.84.0.0/14,24608,WINDTRE-AS,RIPE,意大利CZ88.NET
5.96.0.0/14,3269,"ASN-IBSNAZ, IT",RIPE,意大利CZ88.NET
5.108.0.0/14,34400,ASN-ETTIHADETISALAT,RIPE,沙特阿拉伯EtihadEtisalatajointstockcompany
5.128.0.0/14,31200,"NTK, RU",RIPE,俄罗斯CZ88.NET
5.164.0.0/14,39028,"ULSK-AS, RU",RIPE,俄罗斯CZ88.NET
5.168.0.0/14,16232,ASN-TIM,RIPE,意大利CZ88.NET
5.180.0.0/14,NA,NA, ,乌克兰CZ88.NET
5.192.0.0/14,5384,"EMIRATES-INTERNET Emirates Internet, AE",RIPE,罗马尼亚CZ88.NET
5.240.0.0/14,1257,SWIPNET,RIPE,瑞典CZ88.NET
5.244.0.0/14,34400,ASN-ETTIHADETISALAT,RIPE,沙特阿拉伯EtihadEtisalatajointstockcompany
6.4.0.0/14,768,"DNIC-AS-00768 - Navy Network Information Center (NNIC), US",ARIN,美国亚利桑那州华楚卡堡市美国国防部网络中心
9.12.0.0/14,NA,NA, ,美国纽约IBM公司
12.28.0.0/14,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.40.0.0/14,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.52.0.0/14,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.76.0.0/14,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.120.0.0/14,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.144.0.0/14,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.156.0.0/14,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.176.0.0/14,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.220.0.0/14,7018,ATT-INTERNET4,ARIN,美国ATT用户
13.20.0.0/14,702,UUNET,ARIN,
13.48.0.0/14,NA,NA, ,美国Xerox
13.52.0.0/14,16509,"AMAZON-02 - Amazon.com, Inc., US",ARIN,美国Amazon数据中心
13.56.0.0/14,16509,"AMAZON-02 - Amazon.com, Inc., US",ARIN,美国Amazon数据中心
13.60.0.0/14,NA,NA, ,美国Xerox
13.88.0.0/14,8075,MICROSOFT-CORP-MSN-AS-BLOCK,ARIN,美国Microsoft公司
13.104.0.0/14,8075,MICROSOFT-CORP-MSN-AS-BLOCK,ARIN,美国Microsoft公司
13.108.0.0/14,14340,"SALESFORCE - Salesforce.com, Inc., US",ARIN,美国Xerox
13.112.0.0/14,16509_38895,AMAZON-02 AMAZON-AS-AP ,ARIN APNIC ,美国Amazon数据中心
13.116.0.0/14,NA,NA, ,美国Xerox
13.120.0.0/14,NA,NA, ,美国Xerox
13.124.0.0/14,16509,"AMAZON-02 - Amazon.com, Inc., US",ARIN,美国Amazon数据中心
13.208.0.0/14,16509,"AMAZON-02 - Amazon.com, Inc., US",ARIN,美国Amazon数据中心
13.212.0.0/14,NA,NA, ,美国Xerox
13.224.0.0/14,NA,NA, ,美国Xerox
13.228.0.0/14,16509,"AMAZON-02 - Amazon.com, Inc., US",ARIN,美国Amazon数据中心
13.232.0.0/14,16509_38895,AMAZON-02 AMAZON-AS-AP ,ARIN APNIC ,
13.236.0.0/14,16509,AMAZON-02,ARIN,
13.248.0.0/14,16509,"AMAZON-02 - Amazon.com, Inc., US",ARIN,美国Amazon数据中心
13.252.0.0/14,NA,NA, ,美国Xerox
14.4.0.0/14,NA,NA, ,韩国CZ88.NET
14.96.0.0/14,55740,"TTSLMEIS-AS-AP TTSL-ISP DIVISION, IN",APNIC,印度CZ88.NET
14.140.0.0/14,4755,TATACOMM-AS,APNIC,印度CZ88.NET
