prefix,asNumber,asName,asOrg,usage
1.128.0.0/11,1221,ASN-TELSTRA,APNIC,澳大利亚墨尔本Telstra
1.224.0.0/11,9318,SKB-AS,APNIC,
4.32.0.0/11,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
4.96.0.0/11,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
6.32.0.0/11,NA,NA, ,美国亚利桑那州华楚卡堡市美国国防部网络中心
8.224.0.0/11,3356,LEVEL3,ARIN,
9.32.0.0/11,NA,NA, ,美国纽约IBM公司
12.224.0.0/11,7018,ATT-INTERNET4,ARIN,美国ATT用户
13.0.0.0/11,NA,NA, ,美国Xerox
13.64.0.0/11,8075,MICROSOFT-CORP-MSN-AS-BLOCK,ARIN,
14.32.0.0/11,4766,"KIXS-AS-KR Korea Telecom, KR",APNIC,韩国KT电信
14.64.0.0/11,4766,"KIXS-AS-KR Korea Telecom, KR",APNIC,韩国KT电信
14.160.0.0/11,45899,"VNPT-AS-VN VNPT Corp, VN",APNIC,越南CZ88.NET
14.224.0.0/11,45899,"VNPT-AS-VN VNPT Corp, VN",APNIC,越南CZ88.NET
15.224.0.0/11,71,HP-INTERNET-AS,ARIN,美国惠普公司
16.64.0.0/11,71,HP-INTERNET-AS,ARIN,美国惠普公司
16.160.0.0/11,71,HP-INTERNET-AS,ARIN,美国惠普HP
16.192.0.0/11,71,HP-INTERNET-AS,ARIN,美国惠普HP
17.32.0.0/11,714,APPLE-ENGINEERING,ARIN,美国Apple
17.96.0.0/11,714,APPLE-ENGINEERING,ARIN,美国Apple
17.160.0.0/11,714,APPLE-ENGINEERING,ARIN,美国Apple
17.192.0.0/11,714,APPLE-ENGINEERING,ARIN,美国Apple
20.0.0.0/11,NA,NA, ,美国Microsoft数据中心
20.224.0.0/11,NA,NA, ,美国Microsoft数据中心
23.32.0.0/11,35994,AKAMAI-AS,ARIN,
23.128.0.0/11,393457,"HUC-3-AS - Hamilton Community Energy, CA",ARIN,北美地区CZ88.NET
23.192.0.0/11,35994,AKAMAI-AS,ARIN,
25.96.0.0/11,NA,NA, ,英国CZ88.NET
25.192.0.0/11,NA,NA, ,英国CZ88.NET
27.192.0.0/11,4837,CHINA169-Backbone,APNIC,
31.64.0.0/11,12576,ORANGE-PCS,RIPE,
31.96.0.0/11,12576,ORANGE-PCS,RIPE,
31.224.0.0/11,3320,DTAG,RIPE,德国CZ88.NET
