prefix,asNumber,asName,asOrg,usage
1.0.32.0/19,NA,NA, ,广东省电信
1.0.128.0/19,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.0.160.0/19,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.0.192.0/19,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.0.224.0/19,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.1.32.0/19,NA,NA, ,广东省电信
1.1.64.0/19,2519,VECTANT,JPNIC,
1.1.128.0/19,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.1.160.0/19,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.1.192.0/19,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.1.224.0/19,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.2.32.0/19,NA,NA, ,广东省电信
1.2.128.0/19,9737,TOTNET-TH-AS-AP,APNIC,
1.2.160.0/19,9737,TOTNET-TH-AS-AP,APNIC,
1.2.192.0/19,9737,TOTNET-TH-AS-AP,APNIC,
1.2.224.0/19,9737,TOTNET-TH-AS-AP,APNIC,
1.4.32.0/19,NA,NA, ,广东省电信
1.4.128.0/19,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.4.160.0/19,9737,TOTNET-TH-AS-AP,APNIC,
1.4.192.0/19,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.4.224.0/19,9737,TOTNET-TH-AS-AP,APNIC,
1.10.32.0/19,NA,NA, ,广东省电信
1.10.160.0/19,23969,TOT-NET,APNIC,泰国TOT-AS-AP
1.10.192.0/19,9737,TOTNET-TH-AS-AP,APNIC,
1.10.224.0/19,9737,TOTNET-TH-AS-AP,APNIC,
1.13.192.0/19,18245,Founderbn,APNIC,北京市北京北大方正宽带网络科技有限公司
1.13.224.0/19,18245,Founderbn,APNIC,辽宁省大连市甘井子区方正宽带
1.20.128.0/19,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
