prefix,asNumber,asName,asOrg,usage
1.0.0.0/32,13335,CLOUDFLARENET-AS,RIPE,美国亚太互联网络信息中心(CloudFlare节点)
1.0.0.1/32,13335,CLOUDFLARENET-AS,RIPE,美国Cloudflare公共DNS
1.1.1.0/32,13335,CLOUDFLARENET-AS,RIPE,美国亚太互联网络信息中心(CloudFlare节点)
1.1.1.1/32,13335,CLOUDFLARENET-AS,RIPE,美国Cloudflare公共DNS
1.2.4.8/32,24151_24409,CNNIC-CRITICAL-AP  ,APNIC  ,中国CNNIC公共DNS
1.2.4.9/32,24151_24409,CNNIC-CRITICAL-AP  ,APNIC  ,北京市中国互联网络信息中心
1.3.3.2/32,36352,AS-COLOCROSSING,ARIN,
1.3.3.3/32,36352,AS-COLOCROSSING,ARIN,
1.3.3.5/32,36352,AS-COLOCROSSING,ARIN,
1.3.3.6/32,36352,AS-COLOCROSSING,ARIN,
1.8.101.250/32,7497,CSTNET-AS-AP,APNIC,
1.10.140.254/32,23969,TOT-NET,APNIC,泰国CZ88.NET
1.10.140.255/32,23969,TOT-NET,APNIC,泰国TOT-AS-AP
1.25.36.66/32,4837,CHINA169-Backbone,APNIC,内蒙古呼和浩特市联通IDC机房
1.25.36.67/32,4837,CHINA169-Backbone,APNIC,内蒙古美国苹果公司[在美国Akamai科技公司(在北京蓝汛通信技术有限公司在呼和浩特联通IDC机房)]的HTTPSCDN节点
1.26.112.0/32,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通
1.26.112.1/32,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通BRAS
1.26.124.0/32,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通林东镇新城区BRAS数据机房
1.26.124.1/32,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通-BRAS网关
1.27.100.0/32,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通
1.27.100.1/32,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗林东镇联通-BRAS网关(左旗专用)
1.29.28.0/32,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通林东镇新城区BRAS数据机房
1.29.28.1/32,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗林东镇联通-BRAS网关(左旗专用)
1.29.120.0/32,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通
1.29.120.1/32,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗林东镇联通-BRAS网关(左旗专用)
1.31.244.0/32,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通林东镇新城区BRAS数据机房
1.31.244.1/32,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗林东镇联通-BRAS网关(左旗专用)
1.83.0.62/32,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.83.0.63/32,4134,CHINANET-BACKBONE,APNIC,陕西省西安市青田文化艺术传播有限公司
1.83.146.198/32,4134,CHINANET-BACKBONE,APNIC,陕西省西安市雁塔区西安外国语大学
1.83.146.199/32,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.84.98.204/32,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.84.98.205/32,4134,CHINANET-BACKBONE,APNIC,陕西省西安市莲湖区倩倩网络
1.84.98.58/32,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.84.98.59/32,4134,CHINANET-BACKBONE,APNIC,陕西省西安市莲湖区倩倩网络
1.85.0.46/32,4134,CHINANET-BACKBONE,APNIC,陕西省西安市临潼区海岸网络
1.85.0.47/32,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.17.146/32,4134,CHINANET-BACKBONE,APNIC,陕西省西安市西北大学
1.85.17.147/32,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.31.98/32,4134,CHINANET-BACKBONE,APNIC,陕西省西安市长安区赢向未来网络会所(韦曲街道何家营新村)
1.85.31.99/32,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.37.226/32,4134,CHINANET-BACKBONE,APNIC,陕西省西安市BOBO网尚
1.85.37.227/32,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
