prefix,asNumber,asName,asOrg,usage
1.0.128.0/17,23969,TOT-NET,APNIC,泰国TOTNET
1.1.128.0/17,23969,TOT-NET,APNIC,泰国沙空那空TOT公共有限公司
1.2.128.0/17,23969,TOT-NET,APNIC,
1.4.128.0/17,23969,TOT-NET,APNIC,泰国TOTNET
1.10.128.0/17,23969,TOT-NET,APNIC,
1.11.128.0/17,17839,DREAMPLUS-AS-KR,APNIC,
1.13.0.0/17,18245,Founderbn,APNIC,北京市北京北大方正宽带网络科技有限公司
1.16.128.0/17,NA,NA, ,韩国CZ88.NET
1.20.128.0/17,9737,TOTNET-TH-AS-AP,APNIC,
1.31.0.0/17,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通
1.32.0.0/17,4788,TMNET-AS-AP,APNIC,
1.38.0.0/17,38266,HUTCHVAS-AS,APNIC,
1.45.0.0/17,45083,CheeryZone,APNIC,
1.45.128.0/17,45083,CheeryZone,APNIC,
1.48.128.0/17,4134,CHINANET-BACKBONE,APNIC,贵州省贵阳市电信
1.66.128.0/17,9605,docomo,JPNIC,
1.67.0.0/17,9605,docomo,JPNIC,
1.68.128.0/17,4134,CHINANET-BACKBONE,APNIC,山西省电信
1.69.0.0/17,4134,CHINANET-BACKBONE,APNIC,山西省电信
1.78.128.0/17,9605,docomo,JPNIC,
1.80.0.0/17,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.84.128.0/17,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.88.0.0/17,17429,BGCTVNET,APNIC,
1.88.128.0/17,17429,BGCTVNET,APNIC,
1.89.0.0/17,17429,BGCTVNET,APNIC,
1.89.128.0/17,17429,BGCTVNET,APNIC,
1.90.0.0/17,17429,BGCTVNET,APNIC,
1.90.128.0/17,17429,BGCTVNET,APNIC,
1.91.0.0/17,17429,BGCTVNET,APNIC,
1.91.128.0/17,17429,BGCTVNET,APNIC,
1.93.128.0/17,4847_4808,CNIX-AP CHINA169-BJ ,APNIC  ,北京市鹏博士酒仙桥数据中心
1.94.0.0/17,17964,DXTNET,APNIC,
1.94.128.0/17,17964,DXTNET,APNIC,
1.119.0.0/17,23724,CHINANET-IDC-BJ-AP,APNIC,北京市优位风尚(北京)信息技术有限公司
1.179.0.0/17,9723,ISEEK-AS-AP,APNIC,澳大利亚昆士兰州iseek通信
1.179.128.0/17,23969,TOT-NET,APNIC,
1.181.0.0/17,4134,CHINANET-BACKBONE,APNIC,内蒙古包头市电信
1.184.0.0/17,4538,ERX-CERNET-BKB,APNIC,广东省广州市暨南大学
1.184.128.0/17,4538,ERX-CERNET-BKB,APNIC,广东省广州市教育网
1.186.128.0/17,45769,"DVOIS-IN D-Vois Broadband Pvt Ltd, IN",APNIC,印度CZ88.NET
1.192.0.0/17,4134,CHINANET-BACKBONE,APNIC,河南省郑州市电信
1.200.0.0/17,24157,VIBO-NET-AS,APNIC,
1.200.128.0/17,24157,VIBO-NET-AS,APNIC,
1.202.0.0/17,4847,CNIX-AP,APNIC,
1.202.128.0/17,4847,CNIX-AP,APNIC,
1.255.128.0/17,9318,SKB-AS,APNIC,韩国SKBroadband数据中心
2.1.128.0/17,3215,AS3215,RIPE,法国OrangeS.A.公司AS3215-FR-TELECOM-20100712网络(ROASignedandValid)
2.38.0.0/17,30722,VODAFONE-IT-ASN,RIPE,
2.38.128.0/17,30722,VODAFONE-IT-ASN,RIPE,
2.39.128.0/17,30722,VODAFONE-IT-ASN,RIPE,
2.49.0.0/17,5384,EMIRATES-INTERNET,RIPE,阿拉伯联合酋长国迪拜阿联酋电信公司
2.49.128.0/17,5384,EMIRATES-INTERNET,RIPE,
2.50.0.0/17,5384,EMIRATES-INTERNET,RIPE,阿联酋Etisalat电信
2.50.128.0/17,5384,EMIRATES-INTERNET,RIPE,
2.52.0.0/17,12400,PARTNER-AS,RIPE,
2.52.128.0/17,12400,PARTNER-AS,RIPE,
2.53.0.0/17,12400,PARTNER-AS,RIPE,
