prefix,asNumber,asName,asOrg,usage
1.0.0.16/28,13335,CLOUDFLARENET-AS,RIPE,美国亚太互联网络信息中心(CloudFlare节点)
1.1.1.16/28,13335,CLOUDFLARENET-AS,RIPE,美国亚太互联网络信息中心(CloudFlare节点)
1.2.4.16/28,24151_24409,CNNIC-CRITICAL-AP  ,APNIC  ,北京市中国互联网络信息中心
1.10.140.224/28,23969,TOT-NET,APNIC,泰国CZ88.NET
1.25.36.80/28,4837,CHINA169-Backbone,APNIC,内蒙古呼和浩特市蓝汛通信联通CDN节点
1.25.36.96/28,4837,CHINA169-Backbone,APNIC,内蒙古呼和浩特市蓝汛通信联通CDN节点
1.26.112.16/28,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通
1.26.124.16/28,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通林东镇新城区BRAS数据机房
1.27.100.16/28,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通
1.29.28.16/28,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通林东镇新城区BRAS数据机房
1.29.120.16/28,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通
1.31.244.16/28,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市巴林左旗联通林东镇新城区BRAS数据机房
1.83.0.32/28,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.83.146.208/28,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.84.98.208/28,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.84.98.32/28,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.0.48/28,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.31.112/28,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.37.240/28,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.39.0/28,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.49.112/28,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.52.32/28,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.85.189.224/28,4134,CHINANET-BACKBONE,APNIC,陕西省西安市电信
1.93.0.16/28,4847_4808,CNIX-AP CHINA169-BJ ,APNIC  ,北京市鹏博士酒仙桥数据中心
1.180.184.160/28,4134,CHINANET-BACKBONE,APNIC,内蒙古通辽市电信
1.192.217.144/28,4134,CHINANET-BACKBONE,APNIC,河南省郑州市电信
1.202.85.144/28,4847,CNIX-AP,APNIC,北京市电信
1.202.184.80/28,4847,CNIX-AP,APNIC,北京市电信
1.202.250.16/28,4847,CNIX-AP,APNIC,北京市电信
1.202.255.32/28,4847,CNIX-AP,APNIC,北京市电信
1.204.172.0/28,4134,CHINANET-BACKBONE,APNIC,贵州省贵阳市电信
1.204.235.32/28,4134,CHINANET-BACKBONE,APNIC,贵州省贵阳市电信
1.209.11.240/28,38668,KONKUKHOSPITAL-AS-KR,APNIC,
1.236.0.64/28,38396,GOEPJ-AS-KR,APNIC,
1.236.2.64/28,38390,GOEGY-AS-KR,APNIC,
1.238.6.64/28,38402,GOESW-AS-KR,APNIC,
1.238.8.64/28,38400,GOEPT-AS-KR,APNIC,
1.238.14.0/28,38401,GOEAN-AS-KR,APNIC,
1.238.16.64/28,38394,GOESN-AS-KR,APNIC,
1.241.0.64/28,38408,GOEAY-AS-KR,APNIC,
1.242.4.64/28,38407,GOEAS-AS-KR,APNIC,
2.1.1.16/28,3215,AS3215,RIPE,法国OrangeS.A.公司AS3215-FR-TELECOM-20100712网络(ROASignedandValid)
4.0.0.16/28,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
4.2.2.16/28,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
4.28.136.48/28,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
4.79.238.48/28,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
5.10.143.16/28,4809,CHINATELECOM-CORE-WAN-CN2,APNIC,英国CZ88.NET
5.10.143.80/28,4809,CHINATELECOM-CORE-WAN-CN2,APNIC,英国CZ88.NET
5.23.4.16/28,6453,AS6453,ARIN,欧盟CZ88.NET
5.23.16.16/28,6453,AS6453,ARIN,欧盟CZ88.NET
5.23.28.16/28,6453,AS6453,ARIN,欧盟CZ88.NET
5.45.19.16/28,36483,GOSSAMERTHREADS,ARIN,
5.62.82.48/28,14537,CL-1379-14537,ARIN,马恩岛Continent8数据中心
5.144.17.96/28,15600,FINECOM,RIPE,瑞士CZ88.NET
5.145.65.96/28,15600,FINECOM,RIPE,瑞士CZ88.NET
8.8.4.16/28,3356,LEVEL3,ARIN,美国加利福尼亚州圣克拉拉县山景市谷歌公司
8.8.8.16/28,3356,LEVEL3,ARIN,美国加利福尼亚州圣克拉拉县山景市谷歌公司
8.37.231.0/28,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
9.9.9.16/28,19281,QUAD9-AS-1,ARIN,美国纽约IBM公司
12.5.176.224/28,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.5.176.240/28,7018,ATT-INTERNET4,ARIN,美国FriendsUniversity
12.17.136.144/28,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.25.232.96/28,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.32.34.48/28,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.45.205.128/28,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.45.205.144/28,7018,ATT-INTERNET4,ARIN,美国AAAAISOFTWARESOLUTIONS
12.49.240.80/28,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.127.16.80/28,7018,ATT-INTERNET4,ARIN,美国新泽西州莫里斯县莫里斯敦镇AT&T公司
12.127.17.80/28,7018,ATT-INTERNET4,ARIN,美国新泽西州莫里斯县莫里斯敦镇AT&T公司
12.151.32.48/28,46826,RAZZO,ARIN,
12.166.30.16/28,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.175.96.16/28,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.180.165.48/28,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.207.192.32/28,7018,ATT-INTERNET4,ARIN,美国ATT用户
14.34.171.0/28,4766,KIXS-AS-KR,APNIC,
14.53.86.0/28,38390,GOEGY-AS-KR,APNIC,
14.53.178.0/28,38415,GOEGN-AS-KR,APNIC,
14.104.47.192/28,4134,CHINANET-BACKBONE,APNIC,重庆市电信
14.104.50.128/28,4134,CHINANET-BACKBONE,APNIC,重庆市电信
14.105.64.48/28,4134,CHINANET-BACKBONE,APNIC,重庆市电信
14.106.228.64/28,4134,CHINANET-BACKBONE,APNIC,重庆市电信
14.106.255.48/28,4134,CHINANET-BACKBONE,APNIC,重庆市电信
14.109.102.144/28,4134,CHINANET-BACKBONE,APNIC,重庆市电信
14.197.148.16/28,NA,NA, ,北京市鹏博士长城宽带
14.197.149.224/28,NA,NA, ,北京市鹏博士长城宽带
14.197.149.32/28,NA,NA, ,北京市鹏博士长城宽带
14.197.176.128/28,NA,NA, ,北京市鹏博士长城宽带
14.197.176.240/28,NA,NA, ,北京市鹏博士长城宽带
14.197.177.144/28,NA,NA, ,北京市鹏博士长城宽带
14.197.177.16/28,NA,NA, ,北京市鹏博士长城宽带
14.197.178.112/28,NA,NA, ,北京市鹏博士长城宽带
14.197.178.48/28,NA,NA, ,北京市鹏博士长城宽带
14.197.178.64/28,NA,NA, ,北京市鹏博士长城宽带
14.197.179.0/28,NA,NA, ,北京市鹏博士长城宽带
14.197.179.48/28,NA,NA, ,北京市鹏博士长城宽带
14.197.199.96/28,NA,NA, ,北京市鹏博士长城宽带
14.197.201.160/28,NA,NA, ,北京市鹏博士长城宽带
14.197.201.208/28,NA,NA, ,北京市鹏博士长城宽带
14.197.203.128/28,NA,NA, ,北京市鹏博士长城宽带
14.197.203.32/28,NA,NA, ,北京市鹏博士长城宽带
14.197.209.144/28,NA,NA, ,辽宁省大连市鹏博士长城宽带
14.197.210.144/28,NA,NA, ,辽宁省大连市鹏博士长城宽带
14.197.210.96/28,NA,NA, ,辽宁省大连市鹏博士长城宽带
14.197.211.160/28,NA,NA, ,辽宁省大连市鹏博士长城宽带
14.197.215.64/28,NA,NA, ,辽宁省大连市鹏博士长城宽带
14.197.240.240/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.241.160/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.241.32/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.241.64/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.242.128/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.242.176/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.242.192/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.242.48/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.242.80/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.243.128/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.243.160/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.243.48/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.244.128/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.244.64/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.244.96/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.245.0/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.245.144/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.245.176/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.245.192/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.245.240/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.245.96/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.246.192/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.248.16/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.248.160/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.248.32/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.248.64/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.249.48/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.249.80/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.250.112/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.250.176/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.250.48/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.252.16/28,NA,NA, ,上海市长城宽带互联节点
14.197.252.208/28,NA,NA, ,上海市长城宽带互联节点
14.197.253.112/28,NA,NA, ,上海市长城宽带互联节点
14.197.253.192/28,NA,NA, ,上海市长城宽带互联节点
14.197.253.32/28,NA,NA, ,上海市长城宽带互联节点
14.197.254.144/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.254.16/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.254.160/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.197.254.80/28,NA,NA, ,中国鹏博士宽带/长城宽带/鹏博士互联节点
14.204.75.176/28,4837,CHINA169-Backbone,APNIC,云南省昆明市联通
14.204.84.96/28,4837,CHINA169-Backbone,APNIC,云南省昆明市联通
14.209.44.48/28,4134,CHINANET-BACKBONE,APNIC,广东省肇庆市电信
14.209.47.144/28,4134,CHINANET-BACKBONE,APNIC,广东省肇庆市怀集县电信
15.89.145.160/28,71,HP-INTERNET-AS,ARIN,美国惠普HP
15.89.145.80/28,71,HP-INTERNET-AS,ARIN,美国惠普HP
15.89.145.96/28,71,HP-INTERNET-AS,ARIN,美国惠普HP
15.89.146.240/28,71,HP-INTERNET-AS,ARIN,美国惠普HP
15.89.147.144/28,71,HP-INTERNET-AS,ARIN,美国惠普HP
15.89.147.160/28,71,HP-INTERNET-AS,ARIN,美国惠普HP
15.89.147.80/28,71,HP-INTERNET-AS,ARIN,美国惠普HP
