prefix,asNumber,asName,asOrg,usage
1.96.0.0/12,4766,KIXS-AS-KR,APNIC,韩国首尔KT通信KORNET
1.160.0.0/12,3462,HINET,APNIC,
1.208.0.0/12,3786,LGDACOM,APNIC,韩国LGDACOM
1.224.0.0/12,9318,SKB-AS,APNIC,韩国SKBroadband数据中心
2.32.0.0/12,30722,"VODAFONE-IT-ASN, IT",RIPE,意大利沃达丰
2.160.0.0/12,3320,DTAG,RIPE,德国CZ88.NET
2.176.0.0/12,12880,DCI-AS,RIPE,伊朗CZ88.NET
2.224.0.0/12,12874,"FASTWEB, IT",RIPE,意大利CZ88.NET
4.80.0.0/12,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
5.112.0.0/12,44244,"IRANCELL-AS, IR",RIPE,伊朗CZ88.NET
5.208.0.0/12,197207,"MCCI-AS, IR",RIPE,伊朗CZ88.NET
6.16.0.0/12,NA,NA, ,美国亚利桑那州华楚卡堡市美国国防部网络中心
8.0.0.0/12,3356,LEVEL3,ARIN,
8.16.0.0/12,3356,LEVEL3,ARIN,
8.32.0.0/12,3356,LEVEL3,ARIN,
8.48.0.0/12,3356,LEVEL3,ARIN,美国科罗拉多州布隆菲尔德市Level3通信股份有限公司
8.64.0.0/12,3356,LEVEL3,ARIN,
8.80.0.0/12,3356,LEVEL3,ARIN,
8.96.0.0/12,3356,LEVEL3,ARIN,
8.112.0.0/12,3356,LEVEL3,ARIN,
8.192.0.0/12,3356,LEVEL3,ARIN,
8.224.0.0/12,3356,LEVEL3,ARIN,
8.240.0.0/12,3356,LEVEL3,ARIN,
9.16.0.0/12,NA,NA, ,美国纽约IBM公司
12.80.0.0/12,7018,ATT-INTERNET4,ARIN,美国ATT用户
12.128.0.0/12,7018,ATT-INTERNET4,ARIN,美国ATT用户
13.32.0.0/12,16509,"AMAZON-02 - Amazon.com, Inc., US",ARIN,美国Amazon数据中心
13.64.0.0/12,8075,MICROSOFT-CORP-MSN-AS-BLOCK,ARIN,美国Microsoft公司
13.192.0.0/12,NA,NA, ,美国Xerox
14.16.0.0/12,4134,CHINANET-BACKBONE,APNIC,
14.64.0.0/12,4766,KIXS-AS-KR,APNIC,
14.80.0.0/12,4766,KIXS-AS-KR,APNIC,
14.112.0.0/12,4134,CHINANET-BACKBONE,APNIC,
14.144.0.0/12,4134,CHINANET-BACKBONE,APNIC,
14.208.0.0/12,4134,CHINANET-BACKBONE,APNIC,
15.0.0.0/12,71,HP-INTERNET-AS,ARIN,美国惠普HP
15.48.0.0/12,71,HP-INTERNET-AS,ARIN,美国惠普HP
15.96.0.0/12,71,HP-INTERNET-AS,ARIN,美国惠普HP
15.176.0.0/12,71,HP-INTERNET-AS,ARIN,美国惠普HP
16.112.0.0/12,71,HP-INTERNET-AS,ARIN,美国惠普HP
16.144.0.0/12,71,HP-INTERNET-AS,ARIN,美国惠普HP
16.224.0.0/12,71,HP-INTERNET-AS,ARIN,美国惠普HP
17.16.0.0/12,714,APPLE-ENGINEERING,ARIN,美国Apple
17.144.0.0/12,714,APPLE-ENGINEERING,ARIN,美国Apple
17.160.0.0/12,714,APPLE-ENGINEERING,ARIN,
18.208.0.0/12,14618,"AMAZON-AES - Amazon.com, Inc., US",ARIN,美国Amazon数据中心
20.48.0.0/12,NA,NA, ,美国DXCTechnology
20.160.0.0/12,8075,MICROSOFT-CORP-MSN-AS-BLOCK,ARIN,美国Microsoft数据中心
20.208.0.0/12,NA,NA, ,美国Microsoft数据中心
23.0.0.0/12,35994,AKAMAI-AS,ARIN,
23.112.0.0/12,7018,ATT-INTERNET4,ARIN,美国CZ88.NET
23.160.0.0/12,46489,"JUSTINTV - Twitch Interactive Inc., US",RIPE,北美地区CZ88.NET
24.0.0.0/12,7922,COMCAST-7922,ARIN,
25.80.0.0/12,NA,NA, ,英国CZ88.NET
25.224.0.0/12,NA,NA, ,英国CZ88.NET
27.16.0.0/12,4134,CHINANET-BACKBONE,APNIC,
27.64.0.0/12,7552,VIETEL-AS-AP,APNIC,越南CZ88.NET
27.80.0.0/12,2516,"KDDI KDDI CORPORATION, JP",JPNIC,日本东京市KDDI通信公司
27.160.0.0/12,9644,SKTELECOM-NET-AS,APNIC,韩国CZ88.NET
