prefix,asNumber,asName,asOrg,usage
1.24.0.0/13,4837,CHINA169-Backbone,APNIC,
1.56.0.0/13,4837,CHINA169-Backbone,APNIC,
1.72.0.0/13,9605,"DOCOMO NTT DOCOMO, INC., JP",JPNIC,日本东京都NTTDoCoMo
1.80.0.0/13,4134,CHINANET-BACKBONE,APNIC,
1.120.0.0/13,1221,ASN-TELSTRA,APNIC,澳大利亚墨尔本Telstra
1.192.0.0/13,4134,CHINANET-BACKBONE,APNIC,
1.224.0.0/13,9318,SKB-AS,APNIC,
1.232.0.0/13,9318,SKB-AS,APNIC,
1.240.0.0/13,9318,SKB-AS,APNIC,韩国SKBroadband数据中心
1.248.0.0/13,9318,SKB-AS,APNIC,
2.8.0.0/13,3215,"AS3215, FR",RIPE,法国OrangeS.A.公司AS3215-FR-TELECOM-20100712网络(ROASignedandValid)
2.16.0.0/13,34164,AKAMAI-LON,RIPE,
2.24.0.0/13,12576,ORANGE-PCS,RIPE,英国CZ88.NET
2.64.0.0/13,44034,hi3g,RIPE,
2.72.0.0/13,29355,"KCELL-AS, KZ",RIPE,哈萨克斯坦CZ88.NET
2.96.0.0/13,13285,OPALTELECOM-AS,RIPE,
2.104.0.0/13,3292,TDC,RIPE,丹麦CZ88.NET
2.112.0.0/13,3269,"ASN-IBSNAZ, IT",RIPE,意大利CZ88.NET
2.120.0.0/13,5607,BSKYB-BROADBAND-AS,RIPE,
2.136.0.0/13,3352,"TELEFONICA_DE_ESPANA, ES",RIPE,西班牙CZ88.NET
2.192.0.0/13,16232,ASN-TIM,RIPE,意大利CZ88.NET
2.200.0.0/13,3209,VODANET,RIPE,德国CZ88.NET
2.208.0.0/13,12638,AS12638,RIPE,德国CZ88.NET
2.216.0.0/13,5607,BSKYB-BROADBAND-AS,RIPE,
2.224.0.0/13,12874,FASTWEB,RIPE,
2.232.0.0/13,12874,FASTWEB,RIPE,
2.240.0.0/13,6805,TDDE-ASN1,RIPE,德国CZ88.NET
2.248.0.0/13,3301,TELIANET-SWEDEN,RIPE,瑞典CZ88.NET
