prefix,asNumber,asName,asOrg,usage
1.0.2.0/23,NA,NA, ,福建省电信
1.0.208.0/23,23969,TOT-NET,APNIC,
1.0.210.0/23,23969,TOT-NET,APNIC,
1.0.212.0/23,23969,TOT-NET,APNIC,
1.1.2.0/23,NA,NA, ,福建省电信
1.1.190.0/23,23969,TOT-NET,APNIC,
1.1.254.0/23,23969,TOT-NET,APNIC,
1.2.0.0/23,NA,NA, ,福建省电信
1.2.6.0/23,NA,NA, ,福建省电信
1.2.10.0/23,NA,NA, ,广东省电信
1.2.188.0/23,23969,TOT-NET,APNIC,
1.2.236.0/23,23969,TOT-NET,APNIC,
1.2.254.0/23,23969,TOT-NET,APNIC,
1.4.2.0/23,NA,NA, ,福建省电信
1.4.6.0/23,NA,NA, ,福建省电信
1.4.140.0/23,23969,TOT-NET,APNIC,
1.4.142.0/23,23969,TOT-NET,APNIC,
1.4.208.0/23,23969,TOT-NET,APNIC,
1.4.210.0/23,23969,TOT-NET,APNIC,
1.4.218.0/23,23969,TOT-NET,APNIC,
1.4.248.0/23,23969,TOT-NET,APNIC,
1.4.250.0/23,23969,TOT-NET,APNIC,
1.10.8.0/23,NA,NA, ,福建省电信
1.10.136.0/23,23969,TOT-NET,APNIC,
1.10.142.0/23,23969,TOT-NET,APNIC,泰国TOT-AS-AP
1.10.146.0/23,23969,TOT-NET,APNIC,
1.10.148.0/23,23969,TOT-NET,APNIC,
1.10.244.0/23,23969,TOT-NET,APNIC,
1.11.92.0/23,45996,GNJ-AS-KR,APNIC,
1.20.84.0/23,23969,TOT-NET,APNIC,
1.20.106.0/23,23969,TOT-NET,APNIC,
1.20.108.0/23,23969,TOT-NET,APNIC,
1.20.118.0/23,23969,TOT-NET,APNIC,
1.20.146.0/23,23969,TOT-NET,APNIC,
1.20.160.0/23,23969,TOT-NET,APNIC,
1.20.166.0/23,23969,TOT-NET,APNIC,
1.20.180.0/23,23969,TOT-NET,APNIC,
1.20.186.0/23,23969,TOT-NET,APNIC,
1.20.196.0/23,23969,TOT-NET,APNIC,
1.20.202.0/23,23969,TOT-NET,APNIC,
1.20.254.0/23,23969,TOT-NET,APNIC,
