prefix,asNumber,asName,asOrg,usage
0.0.0.0/8,-,-,-,IANA保留地址
4.0.0.0/8,3356,LEVEL3,ARIN,
7.0.0.0/8,NA,NA, ,美国俄亥俄州哥伦布市DoD网络信息中心
10.0.0.0/8,NA,NA, ,局域网IP
11.0.0.0/8,NA,NA, ,美国俄亥俄州哥伦布市DoD网络信息中心
12.0.0.0/8,7018,ATT-INTERNET4,ARIN,
15.0.0.0/8,71,HP-INTERNET-AS,ARIN,
16.0.0.0/8,71,HP-INTERNET-AS,ARIN,
17.0.0.0/8,714,APPLE-ENGINEERING,ARIN,
19.0.0.0/8,NA,NA, ,美国福特公司
21.0.0.0/8,NA,NA, ,美国国防部网络信息中心
22.0.0.0/8,NA,NA, ,美国俄亥俄州哥伦布市DoD网络信息中心
26.0.0.0/8,NA,NA, ,美国弗吉尼亚州
28.0.0.0/8,NA,NA, ,美国弗吉尼亚州
29.0.0.0/8,NA,NA, ,美国弗吉尼亚州
30.0.0.0/8,NA,NA, ,美国俄亥俄州哥伦布市国防部网络信息中心
