prefix,asNumber,asName,asOrg,usage
1.0.64.0/18,18144,AS-ENECOM,JPNIC,日本Energia通讯
1.0.128.0/18,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.0.192.0/18,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.1.64.0/18,2519,"VECTANT ARTERIA Networks Corporation, JP",JPNIC,日本东京i2ts
1.1.128.0/18,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.1.192.0/18,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.2.64.0/18,NA,NA, ,广东省电信
1.2.128.0/18,23969,TOT-NET,APNIC,泰国TOTNET
1.2.192.0/18,23969,TOT-NET,APNIC,泰国CZ88.NET
1.4.64.0/18,NA,NA, ,广东省电信
1.4.128.0/18,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.4.192.0/18,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.10.64.0/18,133741,"HYTL-AS-AP HONGKONG YABOIDC TECHNOLOGY LIMITED, HK",APNIC,广东省电信
1.10.192.0/18,23969,TOT-NET,APNIC,泰国TOT-AS-AP
1.13.128.0/18,18245,Founderbn,APNIC,北京市北京北大方正宽带网络科技有限公司
1.16.0.0/18,45996,GNJ-AS-KR,APNIC,韩国DAOU
1.16.64.0/18,NA,NA, ,韩国CZ88.NET
1.20.0.0/18,56120,TOT-MOBILE-AS-AP,APNIC,
1.20.128.0/18,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.20.192.0/18,23969_9737,TOT-NET TOTNET-TH-AS-AP ,APNIC  ,
1.26.128.0/18,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通
1.31.128.0/18,4837,CHINA169-Backbone,APNIC,内蒙古呼和浩特市联通
1.32.0.0/18,4788,TMNET-AS-AP,APNIC,马来西亚大马电讯
1.32.64.0/18,4788,TMNET-AS-AP,APNIC,
1.32.128.0/18,NA,NA, ,马来西亚CZ88.NET
1.35.192.0/18,3462,HINET,APNIC,台湾省中华电信
1.39.128.0/18,38266,HUTCHVAS-AS,APNIC,
1.49.0.0/18,4134,CHINANET-BACKBONE,APNIC,贵州省贵阳市电信
1.49.192.0/18,4134,CHINANET-BACKBONE,APNIC,贵州省安顺市电信
1.51.192.0/18,4538,ERX-CERNET-BKB,APNIC,山东省济南市山东大学教育网
1.56.0.0/18,4837,CHINA169-Backbone,APNIC,黑龙江省鹤岗市联通
1.56.128.0/18,4837,CHINA169-Backbone,APNIC,黑龙江省牡丹江市联通
1.57.128.0/18,4837,CHINA169-Backbone,APNIC,黑龙江省双鸭山市联通
1.58.64.0/18,4837,CHINA169-Backbone,APNIC,黑龙江省哈尔滨市联通
1.60.64.0/18,4837,CHINA169-Backbone,APNIC,黑龙江省七台河市联通
1.67.128.0/18,9605,docomo,JPNIC,
1.68.64.0/18,4134,CHINANET-BACKBONE,APNIC,山西省电信
1.69.128.0/18,4134,CHINANET-BACKBONE,APNIC,山西省运城市电信
1.69.192.0/18,4134,CHINANET-BACKBONE,APNIC,山西省电信
