prefix,asNumber,asName,asOrg,usage
1.0.8.0/21,NA,NA, ,广东省电信
1.0.192.0/21,23969,TOT-NET,APNIC,
1.0.240.0/21,23969,TOT-NET,APNIC,
1.0.248.0/21,23969,TOT-NET,APNIC,
1.1.8.0/21,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",APNIC,广东省电信
1.1.128.0/21,23969,TOT-NET,APNIC,
1.1.152.0/21,23969,TOT-NET,APNIC,
1.1.192.0/21,23969,TOT-NET,APNIC,
1.1.200.0/21,23969,TOT-NET,APNIC,
1.1.208.0/21,23969,TOT-NET,APNIC,
1.1.224.0/21,23969,TOT-NET,APNIC,
1.1.232.0/21,23969,TOT-NET,APNIC,
1.2.224.0/21,23969,TOT-NET,APNIC,
1.2.240.0/21,23969,TOT-NET,APNIC,
1.4.8.0/21,NA,NA, ,广东省电信
1.4.128.0/21,23969,TOT-NET,APNIC,
1.4.240.0/21,23969,TOT-NET,APNIC,
1.10.0.0/21,NA,NA, ,广东省电信
1.10.128.0/21,23969,TOT-NET,APNIC,泰国TOTNET
1.10.136.0/21,23969,TOT-NET,APNIC,
1.10.176.0/21,23969,TOT-NET,APNIC,
1.11.0.0/21,18313,PCN-AS-KR,APNIC,
1.11.8.0/21,18313,PCN-AS-KR,APNIC,
1.11.16.0/21,18313,PCN-AS-KR,APNIC,
1.11.24.0/21,18313,PCN-AS-KR,APNIC,
1.11.32.0/21,18313,PCN-AS-KR,APNIC,
1.11.40.0/21,18313,PCN-AS-KR,APNIC,
1.11.48.0/21,18313,PCN-AS-KR,APNIC,
1.11.56.0/21,18313,PCN-AS-KR,APNIC,
1.11.64.0/21,38091,HELLONET-AS-KR,APNIC,
1.11.72.0/21,38091,HELLONET-AS-KR,APNIC,
1.11.80.0/21,38091,HELLONET-AS-KR,APNIC,
1.11.88.0/21,38091,HELLONET-AS-KR,APNIC,
1.20.64.0/21,23969,TOT-NET,APNIC,
1.20.72.0/21,23969,TOT-NET,APNIC,
1.22.144.0/21,45528,TIKONAIN-AS,APNIC,
1.22.216.0/21,45528,TIKONAIN-AS,APNIC,
1.23.16.0/21,45528,TIKONAIN-AS,APNIC,
1.24.0.0/21,4837,CHINA169-Backbone,APNIC,内蒙古联通
1.24.8.0/21,4837,CHINA169-Backbone,APNIC,内蒙古锡林郭勒盟联通
1.24.16.0/21,4837,CHINA169-Backbone,APNIC,内蒙古联通
1.24.24.0/21,4837,CHINA169-Backbone,APNIC,内蒙古鄂尔多斯市联通
1.24.32.0/21,4837,CHINA169-Backbone,APNIC,内蒙古乌兰察布市联通
1.24.80.0/21,4837,CHINA169-Backbone,APNIC,内蒙古乌兰察布市联通
1.24.120.0/21,4837,CHINA169-Backbone,APNIC,内蒙古巴彦淖尔市联通
1.24.128.0/21,4837,CHINA169-Backbone,APNIC,内蒙古包头市联通
1.24.136.0/21,4837,CHINA169-Backbone,APNIC,内蒙古鄂尔多斯市联通
1.24.152.0/21,4837,CHINA169-Backbone,APNIC,内蒙古乌海市联通
1.24.160.0/21,4837,CHINA169-Backbone,APNIC,内蒙古包头市联通
1.24.168.0/21,4837,CHINA169-Backbone,APNIC,内蒙古锡林郭勒盟联通
1.24.176.0/21,4837,CHINA169-Backbone,APNIC,内蒙古阿拉善盟联通
1.24.192.0/21,4837,CHINA169-Backbone,APNIC,内蒙古乌兰察布市联通
1.24.200.0/21,4837,CHINA169-Backbone,APNIC,内蒙古呼和浩特市联通
1.24.208.0/21,4837,CHINA169-Backbone,APNIC,内蒙古呼和浩特市联通
1.24.224.0/21,4837,CHINA169-Backbone,APNIC,内蒙古包头市联通
1.24.248.0/21,4837,CHINA169-Backbone,APNIC,内蒙古锡林郭勒盟联通
1.25.0.0/21,4837,CHINA169-Backbone,APNIC,内蒙古乌兰察布市联通
1.25.8.0/21,4837,CHINA169-Backbone,APNIC,内蒙古呼和浩特市联通
1.25.16.0/21,4837,CHINA169-Backbone,APNIC,内蒙古乌海市联通
1.25.24.0/21,4837,CHINA169-Backbone,APNIC,内蒙古乌兰察布市联通
1.25.56.0/21,4837,CHINA169-Backbone,APNIC,内蒙古包头市联通
1.25.80.0/21,4837,CHINA169-Backbone,APNIC,内蒙古锡林郭勒盟联通
1.25.104.0/21,4837,CHINA169-Backbone,APNIC,内蒙古呼和浩特市联通
1.25.112.0/21,4837,CHINA169-Backbone,APNIC,内蒙古锡林郭勒盟联通
1.25.128.0/21,4837,CHINA169-Backbone,APNIC,内蒙古乌兰察布市联通
1.25.136.0/21,4837,CHINA169-Backbone,APNIC,内蒙古呼和浩特市联通
1.25.144.0/21,4837,CHINA169-Backbone,APNIC,内蒙古呼和浩特市联通
1.25.152.0/21,4837,CHINA169-Backbone,APNIC,内蒙古锡林郭勒盟联通
1.25.160.0/21,4837,CHINA169-Backbone,APNIC,内蒙古锡林郭勒盟联通
1.25.184.0/21,4837,CHINA169-Backbone,APNIC,内蒙古锡林郭勒盟联通
1.25.192.0/21,4837,CHINA169-Backbone,APNIC,内蒙古锡林郭勒盟联通
1.25.200.0/21,4837,CHINA169-Backbone,APNIC,内蒙古包头市联通
1.25.240.0/21,4837,CHINA169-Backbone,APNIC,内蒙古巴彦淖尔市联通
1.26.16.0/21,4837,CHINA169-Backbone,APNIC,内蒙古呼伦贝尔市联通
1.26.96.0/21,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通
1.27.32.0/21,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通
1.27.56.0/21,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通
1.27.64.0/21,4837,CHINA169-Backbone,APNIC,内蒙古呼伦贝尔市联通
1.27.80.0/21,4837,CHINA169-Backbone,APNIC,内蒙古呼伦贝尔市联通
1.27.88.0/21,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通
1.27.104.0/21,4837,CHINA169-Backbone,APNIC,内蒙古联通
1.27.120.0/21,4837,CHINA169-Backbone,APNIC,内蒙古通辽市联通
1.27.176.0/21,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通
1.27.224.0/21,4837,CHINA169-Backbone,APNIC,内蒙古赤峰市联通
1.28.8.0/21,4837,CHINA169-Backbone,APNIC,内蒙古包头市联通
1.28.64.0/21,4837,CHINA169-Backbone,APNIC,内蒙古联通
1.28.80.0/21,4837,CHINA169-Backbone,APNIC,内蒙古乌海市联通
1.28.88.0/21,4837,CHINA169-Backbone,APNIC,内蒙古联通
1.28.120.0/21,4837,CHINA169-Backbone,APNIC,内蒙古联通
1.28.136.0/21,4837,CHINA169-Backbone,APNIC,内蒙古联通
1.28.152.0/21,4837,CHINA169-Backbone,APNIC,内蒙古乌兰察布市联通
1.28.160.0/21,4837,CHINA169-Backbone,APNIC,内蒙古乌海市联通
1.28.168.0/21,4837,CHINA169-Backbone,APNIC,内蒙古联通
1.28.184.0/21,4837,CHINA169-Backbone,APNIC,内蒙古包头市联通
1.28.248.0/21,4837,CHINA169-Backbone,APNIC,内蒙古包头市联通
